"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"AZRE","Azure Power Glo...","1,814","amc","-0.12","-0.31","-0.19 ","-158.33% ","-8.24%",""
"TRUP","Trupanion, Inc....","4,269","amc","-0.03","-0.09","-0.06 ","-200.00% ","-11.34%",""
"EQNR","Equinor Asa","60,263","bmo","0.18","-0.18","-0.36 ","-200.00% ","-2.17%",""
"FLDM","Fluidigm Corpor...","526","amc","-0.04","-0.13","-0.09 ","-225.00% ","-21.02%",""
"QUOT","Quotient Techno...","918","amc","-0.05","-0.28","-0.23 ","-460.00% ","32.21%",""
"BE","Bloom Energy Co...","6,882","amc","0.02","-0.08","-0.10 ","-500.00% ","-3.28%",""
"ATOM","Atomera Incorpo...","895","amc","--","-0.19","--","--","-13.84%",""
"ISSC","Innovative Solu...","123","amc","--","0.01","--","--","-8.95%",""
"AMKBY","A P Mollarmrsk","41,145","bmo","--","0.35","--","--","-6.55%",""
"KNL","Knoll, Inc.","847","amc","--","0.14","--","--","-6.23%",""
"VWDRY","Vestas Wind Sys...","40,318","--","--","1.14","--","--","-4.34%",""
"JRSH","Jerash Holdings...","68","bmo","--","0.01","--","--","-1.32%",""
"DSDVY","Dsv As Uns Adr","31,118","--","--","0.63","--","--","-0.50%",""
"CRWS","Crown Crafts, I...","81","bmo","--","0.20","--","--","-0.38%",""
"RADA","Rada Electronic...","558","bmo","--","0.06","--","--","0.00%",""
"NPCPF","Nippon Paint Ho...","32,552","--","--","0.39","--","--","0.00%",""
"TKOMY","Tokio Marine Ho...","36,897","--","--","0.73","--","--","0.81%",""
"APEMY","Aperam","3,541","--","--","0.91","--","--","1.14%",""
"MITEY","Mitsubishi Esta...","24,094","--","--","0.27","--","--","1.31%",""
"BBGI","Beasley Broadca...","79","bmo","--","0.38","--","--","3.85%",""
"STC","Stewart Informa...","1,358","amc","--","2.09","--","--","4.13%",""
"TKAMY","Thyssenkrupp Ag...","7,993","--","--","-0.18","--","--","5.55%",""
"UA","Under Armour, I...","8,530","bmo","--","0.12","--","--","6.96%",""
"TYEKF","Thyssenkrupp Ag...","NA","--","--","-0.18","--","--","7.45%",""
"CCJ","Cameco Corporat...","6,515","bmo","0.00","0.09","--","--","8.59%",""
